temp,mean_magn
0.0,0.9997392660733836
0.1,0.9977823817618144
0.2,0.9854896510348874
0.3,0.9998613938606109
0.4,0.999442555744416
0.5,0.9999718028197174
0.6,0.9974485351464726
0.7,0.999861993800593
0.8,0.9998605939405327
0.9,0.9991366263372418
1.0,0.999182221777771
1.1,0.9983352464753392
1.2,0.996556684331498
1.3,0.9937438856113674
1.4,0.9904024797519455
1.5,0.9852773322666856
1.6,0.9794849315068122
1.7,0.9700489151084661
1.8,0.955915908409089
1.9,0.9317484451553999
2.0,0.9118741525847406
2.1,0.8700944305569495
2.2,0.7854513348664629
2.21,0.7703484251574285
2.22,0.7578205379461719
2.23,0.7138885311468376
2.24,0.6952065393460192
2.25,0.7068176582341643
2.26,0.6516608139185713
2.27,0.5554507549244757
2.28,0.3288708729127054
2.29,0.5506408159184566
2.3,0.07103171682831799
2.31,0.3161758224177728
2.32,0.34461041895810235
2.33,0.025444215578459484
2.34,0.017538326167388825
2.35,0.09320575942412537
2.36,0.10808091190880649
2.37,0.06294974502557145
2.38,0.0007470052994687804
2.39,0.006480071992751883
2.4,0.02661211878813583
2.41,0.012576962303763307
2.42,0.007194260573946254
2.43,0.008572042795660362
2.44,0.006341965803418134
2.45,0.016855734426560163
2.46,0.006539466053404595
2.47,0.021342445755441385
2.48,0.00012554744525538456
2.49,0.004318748125186625
2.5,0.006163183681707062
2.6,0.0033516848314407797
2.7,0.0035573242675732467
2.8,0.001869693030680031
2.9,0.005102089791028327
3.0,0.002623957604315044
3.1,0.0006434556543854951
3.2,0.001810518948055016
3.3,0.0011250274972538785
3.4,4.3015698467127086e-5
3.5,0.00012002799720446227
